restaurant_temp_id,campus_area,center_query,radius_m,kakao_place_id,name,category_name,address,road_address,longitude,latitude,phone,kakao_place_url,distance_m
30,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,18889918,인생의단맛,음식점 > 술집 > 칵테일바,서울 종로구 명륜3가 117-1,서울 종로구 성균관로5가길 1,126.99706768381785,37.584179251861634,02-743-1933,http://place.map.kakao.com/18889918,93.5
31,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1700062133,싸움의고수 성균관대점,"음식점 > 한식 > 육류,고기 > 족발,보쌈 > 싸움의고수",서울 종로구 명륜2가 142-2,서울 종로구 성균관로 17,126.997423180785,37.5842927853056,070-4038-4730,http://place.map.kakao.com/1700062133,94.0
32,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,13559293,이삭토스트 성균관대점,음식점 > 간식 > 토스트 > 이삭토스트,서울 종로구 명륜2가 143-9,서울 종로구 성균관로 18,126.99759753162618,37.58439730419686,02-3675-2248,http://place.map.kakao.com/13559293,94.7
33,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,17652954,성균관감자탕,음식점 > 한식 > 감자탕,서울 종로구 명륜3가 118-3,서울 종로구 창경궁로29길 37,126.99717863639,37.5841774525792,02-762-2170,http://place.map.kakao.com/17652954,96.3
34,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,223498484,전대포,음식점 > 한식,서울 종로구 명륜2가 143-9,서울 종로구 성균관로 18,126.997641686039,37.5844063150135,070-4355-5353,http://place.map.kakao.com/223498484,96.8
35,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,883727943,명쭈3 대학로본점,"음식점 > 한식 > 해물,생선",서울 종로구 명륜2가 216-1,서울 종로구 창경궁로29길 36,126.99735072592,37.5841792585535,02-741-2565,http://place.map.kakao.com/883727943,101.8
36,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1859806025,신전떡볶이 종로대학로점,음식점 > 분식 > 떡볶이 > 신전떡볶이,서울 종로구 명륜2가 216-3,서울 종로구 성균관로 15-1,126.9974639416,37.5842134987835,02-741-8588,http://place.map.kakao.com/1859806025,103.4
37,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,9029832,명륜쭈꾸미,"음식점 > 한식 > 해물,생선",서울 종로구 명륜3가 121-1,서울 종로구 성균관로5가길 1-6,126.99713561771978,37.584080144271454,02-763-2565,http://place.map.kakao.com/9029832,105.6
38,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,17715566,우리한우곱창,"음식점 > 한식 > 육류,고기 > 곱창,막창",서울 종로구 명륜1가 97-5,서울 종로구 성균관로 36-1,126.996952130274,37.5859542053672,02-747-8566,http://place.map.kakao.com/17715566,106.5
39,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,131183348,양궈푸마라탕 성균관대점,음식점 > 중식 > 중국요리,서울 종로구 명륜2가 216-2,서울 종로구 성균관로 15-2,126.997418658825,37.5840981706597,,http://place.map.kakao.com/131183348,112.6
40,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1283367577,퍼센트,음식점 > 술집,서울 종로구 명륜2가 216-2,서울 종로구 성균관로 15-2,126.997418658825,37.5840981706656,,http://place.map.kakao.com/1283367577,112.6
41,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,396043698,대빵우육면 본점,음식점 > 중식 > 중국요리,서울 종로구 명륜2가 216-4,서울 종로구 성균관로 15,126.99752847785,37.5841342127464,02-6398-8118,http://place.map.kakao.com/396043698,113.9
42,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,19976659,동두천부대찌개,"음식점 > 한식 > 찌개,전골",서울 종로구 명륜3가 122-1,서울 종로구 성균관로 15-8,126.997255631117,37.5839792358762,02-6435-4200,http://place.map.kakao.com/19976659,119.3
43,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,20599525,캠브리지 성대점,음식점 > 양식,서울 종로구 명륜2가 147-3,서울 종로구 성균관로 14,126.99779453577707,37.58418467363932,02-744-8067,http://place.map.kakao.com/20599525,123.8
44,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,1089191865,한잔더,"음식점 > 술집 > 호프,요리주점",서울 종로구 명륜3가 122-2,서울 종로구 성균관로 15-10,126.99711298134059,37.583899945058526,,http://place.map.kakao.com/1089191865,124.7
45,skku_humanities_front_gate,성균관대학교 인문사회과학캠퍼스 정문,300,11817216,피자스쿨 서울성대점,음식점 > 양식 > 피자 > 피자스쿨,서울 종로구 명륜2가 147-3,서울 종로구 성균관로 14,126.997771893267,37.5841558414301,02-742-8281,http://place.map.kakao.com/11817216,124.8
